Date,Generated,Efficiency,Number_of_panels,Max_power,System_size,Panel_brand,Orientation,Number_of_inverters,Inverter_brand,Inverter_size,Postcode,Install_date,Shading,Tilt
31/07/17,9.178kWh,4.975kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/07/17,6.850kWh,3.713kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/07/17,6.536kWh,3.543kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/07/17,7.107kWh,3.852kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/07/17,7.256kWh,3.933kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/07/17,9.429kWh,5.111kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/07/17,5.531kWh,2.998kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/07/17,5.681kWh,3.079kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/07/17,7.067kWh,3.830kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/07/17,8.018kWh,4.346kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/07/17,11.954kWh,6.479kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/07/17,4.826kWh,2.616kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/07/17,8.693kWh,4.712kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/07/17,10.312kWh,5.589kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/07/17,11.584kWh,6.279kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/07/17,2.898kWh,1.571kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/07/17,8.785kWh,4.762kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/07/17,6.972kWh,3.779kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/07/17,6.881kWh,3.730kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/07/17,4.917kWh,2.665kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/07/17,6.459kWh,3.501kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/07/17,7.961kWh,4.315kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/07/17,12.412kWh,6.727kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/07/17,5.428kWh,2.942kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/07/17,9.280kWh,5.030kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/07/17,9.777kWh,5.299kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/07/17,10.011kWh,5.426kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/07/17,10.356kWh,5.613kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/07/17,8.863kWh,4.804kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/07/17,7.475kWh,4.051kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/07/17,4.476kWh,2.426kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
31/08/17,6.147kWh,3.332kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/08/17,0.975kWh,0.528kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/08/17,7.743kWh,4.197kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/08/17,8.673kWh,4.701kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/08/17,9.263kWh,5.021kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/08/17,7.153kWh,3.877kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/08/17,8.354kWh,4.528kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/08/17,7.317kWh,3.966kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/08/17,8.481kWh,4.597kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/08/17,8.055kWh,4.366kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/08/17,5.739kWh,3.111kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/08/17,8.425kWh,4.566kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/08/17,7.980kWh,4.325kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/08/17,5.128kWh,2.779kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/08/17,2.037kWh,1.104kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/08/17,7.894kWh,4.279kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/08/17,3.386kWh,1.835kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/08/17,8.222kWh,4.456kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/08/17,6.701kWh,3.632kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/08/17,4.034kWh,2.186kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/08/17,6.331kWh,3.431kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/08/17,5.410kWh,2.932kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/08/17,8.680kWh,4.705kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/08/17,2.494kWh,1.352kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/08/17,10.029kWh,5.436kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/08/17,9.304kWh,5.043kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/08/17,8.055kWh,4.366kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/08/17,7.965kWh,4.317kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/08/17,7.589kWh,4.113kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/08/17,7.013kWh,3.801kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/08/17,7.532kWh,4.082kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/09/17,1.534kWh,0.831kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/09/17,3.749kWh,2.032kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/09/17,2.834kWh,1.536kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/09/17,5.230kWh,2.835kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/09/17,2.081kWh,1.128kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/09/17,4.198kWh,2.275kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/09/17,6.636kWh,3.597kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/09/17,8.119kWh,4.401kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/09/17,2.238kWh,1.213kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/09/17,6.382kWh,3.459kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/09/17,5.000kWh,2.710kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/09/17,6.206kWh,3.364kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/09/17,4.572kWh,2.478kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/09/17,6.210kWh,3.366kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/09/17,3.024kWh,1.639kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/09/17,6.062kWh,3.286kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/09/17,2.954kWh,1.601kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/09/17,4.296kWh,2.328kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/09/17,6.510kWh,3.528kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/09/17,4.260kWh,2.309kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/09/17,4.943kWh,2.679kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/09/17,5.025kWh,2.724kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/09/17,0.952kWh,0.516kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/09/17,4.833kWh,2.620kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/09/17,4.165kWh,2.257kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/09/17,2.902kWh,1.573kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/09/17,7.782kWh,4.218kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/09/17,9.034kWh,4.896kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/09/17,6.928kWh,3.755kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/09/17,6.899kWh,3.739kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
31/10/17,0.917kWh,0.497kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/10/17,3.607kWh,1.955kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/10/17,3.678kWh,1.993kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/10/17,0.687kWh,0.372kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/10/17,3.264kWh,1.769kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/10/17,2.453kWh,1.330kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/10/17,1.870kWh,1.014kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/10/17,0.565kWh,0.306kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/10/17,2.619kWh,1.420kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/10/17,1.964kWh,1.064kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/10/17,3.223kWh,1.747kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/10/17,1.570kWh,0.851kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/10/17,3.619kWh,1.962kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/10/17,4.255kWh,2.306kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/10/17,1.626kWh,0.881kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/10/17,4.730kWh,2.564kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/10/17,5.673kWh,3.075kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/10/17,3.463kWh,1.877kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/10/17,2.374kWh,1.287kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/10/17,3.925kWh,2.127kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/10/17,1.197kWh,0.649kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/10/17,1.705kWh,0.924kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/10/17,0.679kWh,0.368kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/10/17,3.360kWh,1.821kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/10/17,0.562kWh,0.305kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/10/17,4.883kWh,2.647kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/10/17,4.131kWh,2.239kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/10/17,2.586kWh,1.402kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/10/17,4.566kWh,2.475kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/10/17,2.833kWh,1.536kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/10/17,3.470kWh,1.881kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/11/17,0.758kWh,0.411kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/11/17,1.089kWh,0.590kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/11/17,1.111kWh,0.602kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/11/17,0.359kWh,0.195kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/11/17,1.347kWh,0.730kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/11/17,1.311kWh,0.711kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/11/17,1.214kWh,0.658kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/11/17,0.762kWh,0.413kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/11/17,1.407kWh,0.763kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/11/17,0.121kWh,0.066kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/11/17,0.192kWh,0.104kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/11/17,2.126kWh,1.152kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/11/17,0.964kWh,0.522kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/11/17,2.482kWh,1.345kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/11/17,0.263kWh,0.143kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/11/17,0.345kWh,0.187kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/11/17,0.651kWh,0.353kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/11/17,2.966kWh,1.608kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/11/17,0.877kWh,0.475kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/11/17,1.233kWh,0.668kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/11/17,1.725kWh,0.935kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/11/17,2.125kWh,1.152kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/11/17,0.504kWh,0.273kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/11/17,4.085kWh,2.214kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/11/17,3.730kWh,2.022kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/11/17,2.314kWh,1.254kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/11/17,1.799kWh,0.975kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/11/17,1.606kWh,0.870kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/11/17,2.134kWh,1.157kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/11/17,1.662kWh,0.901kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
31/12/17,0.169kWh,0.092kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
30/12/17,0.424kWh,0.230kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
29/12/17,0.331kWh,0.179kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
28/12/17,2.054kWh,1.113kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
27/12/17,0.280kWh,0.152kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
26/12/17,1.408kWh,0.763kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
25/12/17,0.404kWh,0.219kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
24/12/17,0.192kWh,0.104kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
23/12/17,0.114kWh,0.062kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
22/12/17,0.626kWh,0.339kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
21/12/17,0.301kWh,0.163kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
20/12/17,0.188kWh,0.102kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
19/12/17,0.739kWh,0.401kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
18/12/17,0.751kWh,0.407kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
17/12/17,1.963kWh,1.064kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
16/12/17,1.133kWh,0.614kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
15/12/17,0.278kWh,0.151kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
14/12/17,0.604kWh,0.327kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
13/12/17,0.088kWh,0.048kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
12/12/17,0.000kWh,0.000kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
11/12/17,0.000kWh,0.000kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
10/12/17,0.000kWh,0.000kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
09/12/17,0.666kWh,0.361kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
08/12/17,0.532kWh,0.288kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
07/12/17,0.063kWh,0.034kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
06/12/17,0.365kWh,0.198kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
05/12/17,0.283kWh,0.153kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
04/12/17,0.460kWh,0.249kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
03/12/17,0.449kWh,0.243kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
02/12/17,0.728kWh,0.395kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
01/12/17,1.352kWh,0.733kWh/kW,9,205W,1845W,Phono Solar,South,1,SMA,1500W,1078,27/10/15,No,15.0 Degrees
